neighbourhood_cleansed,room_type,pearson_r,sample_size,avg_price_clean,avg_review_scores_rating
Allerton,Entire home/apt,0.08420391249606356,13,116.38461538461539,4.521538461538461
Allerton,Private room,-0.05012411862351589,13,82.15384615384616,4.904615384615384
Arverne,Entire home/apt,0.10077230875193487,28,178.03571428571428,4.786785714285714
Arverne,Private room,-0.1844796265205175,19,98.63157894736842,4.867368421052632
Astoria,Entire home/apt,0.01855798960833332,85,188.08235294117648,4.786117647058824
Astoria,Private room,0.0011863727163254826,143,97.32167832167832,4.7290909090909095
Bath Beach,Entire home/apt,-0.3196038736640772,10,195.5,4.872999999999999
Battery Park City,Entire home/apt,-0.782616091720174,11,246.72727272727272,4.822727272727272
Bay Ridge,Entire home/apt,-0.27878695393413033,20,163.55,4.9185
Bay Ridge,Private room,0.1722156718868935,43,103.16279069767442,4.886976744186046
Bayside,Entire home/apt,0.04667885044821679,23,168.91304347826087,4.803913043478261
Bedford-Stuyvesant,Entire home/apt,0.10893692929481662,499,189.96993987975952,4.798476953907816
Bedford-Stuyvesant,Private room,0.14432642538725857,496,110.47681451612904,4.711431451612903
Bedford-Stuyvesant,Shared room,0.4149048554979006,20,115.25,4.690499999999999
Bensonhurst,Entire home/apt,-0.5005298421261289,14,140.78571428571428,4.711428571428572
Boerum Hill,Entire home/apt,0.3115987697578362,35,262.8857142857143,4.865714285714286
Borough Park,Private room,0.32530564650839233,22,76.04545454545455,4.716363636363637
Briarwood,Private room,0.1786967707389336,10,96.2,4.843999999999999
Brighton Beach,Entire home/apt,-0.02076710185975492,16,134.0,4.7475000000000005
Brighton Beach,Private room,0.5461254690695742,12,66.58333333333333,4.565
Brooklyn Heights,Entire home/apt,-0.15617687297683971,13,234.23076923076923,4.864615384615385
Brownsville,Entire home/apt,-0.20064230119982973,20,167.15,4.8245
Brownsville,Private room,0.212292239849209,29,87.51724137931035,4.78
Bushwick,Entire home/apt,0.13584923986355052,182,176.78021978021977,4.8016483516483515
Bushwick,Private room,0.1720154259376861,320,100.3265625,4.70615625
Cambria Heights,Entire home/apt,0.014639036232876969,14,147.21428571428572,4.867142857142857
Cambria Heights,Private room,0.11877946996069069,14,112.78571428571429,4.872142857142856
Canarsie,Entire home/apt,-0.006271572290063523,69,161.28985507246378,4.691594202898552
Canarsie,Private room,0.14593968475863867,81,124.0,4.849382716049382
Carroll Gardens,Entire home/apt,0.311053217954905,33,233.21212121212122,4.887575757575759
Carroll Gardens,Private room,0.2828323763310018,15,188.4,4.896
Chelsea,Entire home/apt,0.08129941827978952,257,216.73151750972764,4.716731517509727
Chelsea,Private room,0.1187168178516684,73,211.82876712328766,4.406849315068494
Chinatown,Entire home/apt,-0.014173936186326709,62,212.24193548387098,4.772903225806452
