review_year,month_num,month_label,room_type,review_count
2009,5,May,Entire home/apt,1
2009,6,Jun,Entire home/apt,2
2009,7,Jul,Entire home/apt,3
2009,8,Aug,Entire home/apt,4
2009,10,Oct,Entire home/apt,3
2009,10,Oct,Private room,4
2009,11,Nov,Entire home/apt,5
2009,11,Nov,Private room,7
2009,12,Dec,Entire home/apt,8
2009,12,Dec,Private room,6
2010,1,Jan,Entire home/apt,4
2010,1,Jan,Private room,5
2010,2,Feb,Entire home/apt,3
2010,2,Feb,Private room,1
2010,3,Mar,Entire home/apt,6
2010,3,Mar,Private room,9
2010,4,Apr,Entire home/apt,7
2010,4,Apr,Private room,7
2010,5,May,Entire home/apt,17
2010,5,May,Private room,10
2010,6,Jun,Entire home/apt,11
2010,6,Jun,Private room,9
2010,7,Jul,Entire home/apt,13
2010,7,Jul,Private room,10
2010,8,Aug,Entire home/apt,26
2010,8,Aug,Private room,20
2010,9,Sep,Entire home/apt,38
2010,9,Sep,Private room,35
2010,10,Oct,Entire home/apt,36
2010,10,Oct,Private room,49
2010,11,Nov,Entire home/apt,30
2010,11,Nov,Private room,35
2010,12,Dec,Entire home/apt,26
2010,12,Dec,Private room,29
2011,1,Jan,Entire home/apt,25
2011,1,Jan,Private room,22
2011,2,Feb,Entire home/apt,15
2011,2,Feb,Private room,14
2011,3,Mar,Entire home/apt,23
2011,3,Mar,Hotel room,1
2011,3,Mar,Private room,29
2011,4,Apr,Entire home/apt,42
2011,4,Apr,Hotel room,1
2011,4,Apr,Private room,39
2011,5,May,Entire home/apt,65
2011,5,May,Private room,83
2011,6,Jun,Entire home/apt,83
2011,6,Jun,Hotel room,3
2011,6,Jun,Private room,66
2011,7,Jul,Entire home/apt,67
2011,7,Jul,Hotel room,1
2011,7,Jul,Private room,57
2011,8,Aug,Entire home/apt,84
2011,8,Aug,Private room,68
2011,9,Sep,Entire home/apt,139
2011,9,Sep,Private room,113
2011,10,Oct,Entire home/apt,133
2011,10,Oct,Hotel room,3
2011,10,Oct,Private room,123
2011,11,Nov,Entire home/apt,131
2011,11,Nov,Hotel room,4
2011,11,Nov,Private room,92
2011,12,Dec,Entire home/apt,98
2011,12,Dec,Hotel room,1
2011,12,Dec,Private room,61
2012,1,Jan,Entire home/apt,82
2012,1,Jan,Hotel room,2
2012,1,Jan,Private room,55
2012,2,Feb,Entire home/apt,55
2012,2,Feb,Private room,23
2012,3,Mar,Entire home/apt,92
2012,3,Mar,Private room,60
2012,4,Apr,Entire home/apt,163
2012,4,Apr,Hotel room,1
2012,4,Apr,Private room,110
2012,5,May,Entire home/apt,205
2012,5,May,Private room,153
2012,6,Jun,Entire home/apt,154
2012,6,Jun,Hotel room,1
2012,6,Jun,Private room,124
2012,7,Jul,Entire home/apt,150
2012,7,Jul,Private room,106
2012,8,Aug,Entire home/apt,187
2012,8,Aug,Private room,136
2012,9,Sep,Entire home/apt,219
2012,9,Sep,Hotel room,1
2012,9,Sep,Private room,188
2012,10,Oct,Entire home/apt,242
2012,10,Oct,Hotel room,1
2012,10,Oct,Private room,235
2012,11,Nov,Entire home/apt,149
2012,11,Nov,Private room,177
2012,12,Dec,Entire home/apt,154
2012,12,Dec,Hotel room,1
2012,12,Dec,Private room,138
2013,1,Jan,Entire home/apt,158
2013,1,Jan,Private room,99
2013,2,Feb,Entire home/apt,95
2013,2,Feb,Private room,52
2013,3,Mar,Entire home/apt,192
2013,3,Mar,Private room,124
2013,4,Apr,Entire home/apt,273
2013,4,Apr,Private room,226
2013,4,Apr,Shared room,3
2013,5,May,Entire home/apt,364
2013,5,May,Hotel room,1
2013,5,May,Private room,261
2013,5,May,Shared room,5
2013,6,Jun,Entire home/apt,280
2013,6,Jun,Private room,221
2013,6,Jun,Shared room,3
2013,7,Jul,Entire home/apt,281
2013,7,Jul,Private room,236
2013,7,Jul,Shared room,4
2013,8,Aug,Entire home/apt,294
2013,8,Aug,Private room,269
2013,8,Aug,Shared room,1
2013,9,Sep,Entire home/apt,411
2013,9,Sep,Private room,355
2013,9,Sep,Shared room,8
2013,10,Oct,Entire home/apt,421
