review_year,month_num,month_label,listing_id,name,room_type,neighbourhood_cleansed,review_count,review_scores_rating,price,number_of_reviews_ltm
2009,5,May,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,1,4.6,139.0,3.0
2009,6,Jun,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,2,4.6,139.0,3.0
2009,7,Jul,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,3,4.6,139.0,3.0
2009,8,Aug,7801,Sunny Prime Williamsburg Loft with Sauna,Entire home/apt,Williamsburg,2,4.91,355.0,0.0
2009,8,Aug,8490,"Maison des Sirenes1,bohemian, luminous apartment",Entire home/apt,Bedford-Stuyvesant,1,4.77,,0.0
2009,8,Aug,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,1,4.6,139.0,3.0
2009,10,Oct,6990,UES Beautiful Blue Room,Private room,East Harlem,2,4.88,73.0,3.0
2009,10,Oct,9357,Midtown Pied-a-terre,Entire home/apt,Hell's Kitchen,2,4.52,175.0,0.0
2009,10,Oct,12192,ENJOY Downtown NYC!,Private room,East Village,2,4.4,,2.0
2009,10,Oct,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,1,4.6,139.0,3.0
2009,11,Nov,12192,ENJOY Downtown NYC!,Private room,East Village,4,4.4,,2.0
2009,11,Nov,6990,UES Beautiful Blue Room,Private room,East Harlem,3,4.88,73.0,3.0
2009,11,Nov,8490,"Maison des Sirenes1,bohemian, luminous apartment",Entire home/apt,Bedford-Stuyvesant,2,4.77,,0.0
2009,11,Nov,9357,Midtown Pied-a-terre,Entire home/apt,Hell's Kitchen,2,4.52,175.0,0.0
2009,11,Nov,2595,Skylit Studio Oasis | Midtown Manhattan Sanctuary,Entire home/apt,Midtown,1,4.68,240.0,0.0
2009,12,Dec,6990,UES Beautiful Blue Room,Private room,East Harlem,3,4.88,73.0,3.0
2009,12,Dec,12940,Charming Brownstone 3 - Near PRATT,Entire home/apt,Bedford-Stuyvesant,3,4.58,152.0,3.0
2009,12,Dec,12192,ENJOY Downtown NYC!,Private room,East Village,3,4.4,,2.0
2009,12,Dec,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,2,4.6,139.0,3.0
2009,12,Dec,14314,Greenpoint Place...Has It All!,Entire home/apt,Greenpoint,1,4.83,115.0,0.0
2009,12,Dec,8490,"Maison des Sirenes1,bohemian, luminous apartment",Entire home/apt,Bedford-Stuyvesant,1,4.77,,0.0
2009,12,Dec,2595,Skylit Studio Oasis | Midtown Manhattan Sanctuary,Entire home/apt,Midtown,1,4.68,240.0,0.0
2010,1,Jan,6990,UES Beautiful Blue Room,Private room,East Harlem,2,4.88,73.0,3.0
2010,1,Jan,7097,"Perfect for Your Parents, With Garden & Patio",Private room,Fort Greene,1,4.89,216.0,33.0
2010,1,Jan,16974,SpaHa Loft: Enormous and Bright,Entire home/apt,East Harlem,1,4.85,384.0,0.0
2010,1,Jan,14314,Greenpoint Place...Has It All!,Entire home/apt,Greenpoint,1,4.83,115.0,0.0
2010,1,Jan,16338,Large Room - Deck Access in Clinton Hill Best Area,Private room,Clinton Hill,1,4.66,57.0,0.0
2010,1,Jan,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,1,4.6,139.0,3.0
2010,1,Jan,9357,Midtown Pied-a-terre,Entire home/apt,Hell's Kitchen,1,4.52,175.0,0.0
2010,1,Jan,12192,ENJOY Downtown NYC!,Private room,East Village,1,4.4,,2.0
2010,2,Feb,6990,UES Beautiful Blue Room,Private room,East Harlem,1,4.88,73.0,3.0
2010,2,Feb,16974,SpaHa Loft: Enormous and Bright,Entire home/apt,East Harlem,1,4.85,384.0,0.0
2010,2,Feb,14314,Greenpoint Place...Has It All!,Entire home/apt,Greenpoint,1,4.83,115.0,0.0
2010,2,Feb,6848,Only 2 stops to Manhattan studio,Entire home/apt,Williamsburg,1,4.6,139.0,3.0
2010,3,Mar,12192,ENJOY Downtown NYC!,Private room,East Village,4,4.4,,2.0
2010,3,Mar,6990,UES Beautiful Blue Room,Private room,East Harlem,3,4.88,73.0,3.0
2010,3,Mar,19812,2 bedroom Williamsburg Apt - Bedford L stop,Entire home/apt,Williamsburg,3,4.48,95.0,0.0
2010,3,Mar,16974,SpaHa Loft: Enormous and Bright,Entire home/apt,East Harlem,1,4.85,384.0,0.0
2010,3,Mar,14314,Greenpoint Place...Has It All!,Entire home/apt,Greenpoint,1,4.83,115.0,0.0
2010,3,Mar,17037,Lovely EV Artist's Home,Entire home/apt,East Village,1,4.8,273.0,0.0
2010,3,Mar,21456,Light-filled classic Central Park,Private room,Upper West Side,1,4.69,84.0,0.0
2010,3,Mar,16338,Large Room - Deck Access in Clinton Hill Best Area,Private room,Clinton Hill,1,4.66,57.0,0.0
2010,4,Apr,19812,2 bedroom Williamsburg Apt - Bedford L stop,Entire home/apt,Williamsburg,3,4.48,95.0,0.0
2010,4,Apr,6990,UES Beautiful Blue Room,Private room,East Harlem,2,4.88,73.0,3.0
2010,4,Apr,23545,Upper Upper West Side Garden Apartment Townhouse,Entire home/apt,Harlem,2,4.75,201.0,0.0
2010,4,Apr,21456,Light-filled classic Central Park,Private room,Upper West Side,2,4.69,84.0,0.0
2010,4,Apr,7097,"Perfect for Your Parents, With Garden & Patio",Private room,Fort Greene,1,4.89,216.0,33.0
2010,4,Apr,14314,Greenpoint Place...Has It All!,Entire home/apt,Greenpoint,1,4.83,115.0,0.0
2010,4,Apr,10452,Radiant Oasis  B&B Style room,Private room,Bedford-Stuyvesant,1,4.66,90.0,1.0
2010,4,Apr,9357,Midtown Pied-a-terre,Entire home/apt,Hell's Kitchen,1,4.52,175.0,0.0
2010,4,Apr,12192,ENJOY Downtown NYC!,Private room,East Village,1,4.4,,2.0
2010,5,May,23545,Upper Upper West Side Garden Apartment Townhouse,Entire home/apt,Harlem,4,4.75,201.0,0.0
2010,5,May,19174,One bedroom Duplex Private Terrace West Village,Entire home/apt,West Village,4,4.63,200.0,1.0
2010,5,May,7097,"Perfect for Your Parents, With Garden & Patio",Private room,Fort Greene,2,4.89,216.0,33.0
2010,5,May,6990,UES Beautiful Blue Room,Private room,East Harlem,2,4.88,73.0,3.0
2010,5,May,21456,Light-filled classic Central Park,Private room,Upper West Side,2,4.69,84.0,0.0
2010,5,May,9357,Midtown Pied-a-terre,Entire home/apt,Hell's Kitchen,2,4.52,175.0,0.0
2010,5,May,21794,COZY QUIET monthly room 4 DOOGLERS!,Private room,Chelsea,1,4.97,85.0,0.0
2010,5,May,15385,"Very, very cozy place",Private room,Williamsburg,1,4.87,98.0,4.0
2010,5,May,16974,SpaHa Loft: Enormous and Bright,Entire home/apt,East Harlem,1,4.85,384.0,0.0
2010,5,May,14314,Greenpoint Place...Has It All!,Entire home/apt,Greenpoint,1,4.83,115.0,0.0
2010,5,May,24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,Entire home/apt,Park Slope,1,4.83,201.0,0.0
