date,host_group,room_type,total_listing_days,available_days,unavailable_days,availability_rate,estimated_occupancy_rate,avg_price_used,median_price_used,price_sample_size
2025-11-02,Commercial host,Entire home/apt,8083,1365,6718,0.168873,0.831127,315.22,230.0,7705
2025-11-02,Commercial host,Hotel room,289,113,176,0.391003,0.608997,34138.97,40000.0,164
2025-11-02,Commercial host,Private room,7171,2055,5116,0.286571,0.713429,100.42,73.0,5706
2025-11-02,Commercial host,Shared room,129,33,96,0.255814,0.744186,63.66,36.5,126
2025-11-02,Individual host,Entire home/apt,7321,1010,6311,0.137959,0.862041,261.94,190.0,4690
2025-11-02,Individual host,Private room,4734,927,3807,0.195817,0.804183,127.63,111.0,2865
2025-11-02,Individual host,Shared room,99,25,74,0.252525,0.747475,179.85,167.0,73
2025-11-03,Commercial host,Entire home/apt,8825,2058,6767,0.233201,0.766799,315.02,230.0,7735
2025-11-03,Commercial host,Hotel room,357,182,175,0.509804,0.490196,34125.75,40000.0,167
2025-11-03,Commercial host,Private room,9044,3239,5805,0.358138,0.641862,100.64,73.0,5717
2025-11-03,Commercial host,Shared room,137,46,91,0.335766,0.664234,63.66,36.5,126
2025-11-03,Individual host,Entire home/apt,10585,1546,9039,0.146056,0.853944,262.17,190.0,4700
2025-11-03,Individual host,Private room,7233,1538,5695,0.212637,0.787363,127.71,111.0,2869
2025-11-03,Individual host,Shared room,121,41,80,0.338843,0.661157,179.85,167.0,73
2025-11-04,Commercial host,Entire home/apt,8825,2516,6309,0.285099,0.714901,315.02,230.0,7735
2025-11-04,Commercial host,Hotel room,357,132,225,0.369748,0.630252,34125.75,40000.0,167
2025-11-04,Commercial host,Private room,9042,3337,5705,0.369056,0.630944,100.64,73.0,5716
2025-11-04,Commercial host,Shared room,137,49,88,0.357664,0.642336,63.66,36.5,126
2025-11-04,Individual host,Entire home/apt,10585,1820,8765,0.171941,0.828059,262.17,190.0,4700
2025-11-04,Individual host,Private room,7233,1769,5464,0.244573,0.755427,127.71,111.0,2869
2025-11-04,Individual host,Shared room,121,52,69,0.429752,0.570248,179.85,167.0,73
2025-11-05,Commercial host,Entire home/apt,8825,2595,6230,0.294051,0.705949,315.02,230.0,7735
2025-11-05,Commercial host,Hotel room,357,142,215,0.397759,0.602241,34125.75,40000.0,167
2025-11-05,Commercial host,Private room,9042,3422,5620,0.378456,0.621544,100.64,73.0,5716
2025-11-05,Commercial host,Shared room,137,57,80,0.416058,0.583942,63.66,36.5,126
