support_priority_rank,listing_id,name,neighbourhood_cleansed,borough,room_type,minimum_nights,price,peer_median_price,price_gap_pct,available_days,total_days,vacancy_rate,support_reason
1,1299452778704619691,Amazing Apartment in NYC,Harlem,Manhattan,Private room,31,537.5,111.0,3.8423,365,365,1.0,Strict 31+ night minimum AND price 384% above peer median; 100% vacant.
2,276317,"The Carlton, Brooklyn brownstone Duplex w/ garden",Prospect Heights,Brooklyn,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
3,42662526,Experience paradise on earth in midtown,Upper West Side,Manhattan,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
4,49920227,WELCOME HOME 15 MINUTES  TO MANHATTAN  BOOK TODAY,Longwood,Bronx,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
5,877469016958154685,"Gorgeous Clinton Hill Townhouse Share, Apt #1",Clinton Hill,Brooklyn,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
6,1029692543095350940,Lovely townhouse by Park Avenue,Upper East Side,Manhattan,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
7,1211758820311009120,Times Square Luxury Retreat,Hell's Kitchen,Manhattan,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
8,1268970552899584835,Charming Private Room in NYC,Upper West Side,Manhattan,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
9,1343056791455833489,Hell's Kitchen apartment,Hell's Kitchen,Manhattan,Private room,30,537.5,111.0,3.8423,365,365,1.0,Strict 30+ night minimum AND price 384% above peer median; 100% vacant.
10,13016783,Bedroom in large Williamsburg apt.,Greenpoint,Brooklyn,Private room,30,500.0,111.0,3.5045,365,365,1.0,Strict 30+ night minimum AND price 350% above peer median; 100% vacant.
11,777572930730588568,1 private Bedroom. With Bathroom,Allerton,Bronx,Private room,30,500.0,111.0,3.5045,365,365,1.0,Strict 30+ night minimum AND price 350% above peer median; 100% vacant.
12,792250086445040724,Cozy single bedroom In the house,Allerton,Bronx,Private room,30,500.0,111.0,3.5045,365,365,1.0,Strict 30+ night minimum AND price 350% above peer median; 100% vacant.
13,54093527,Incredible Midtown Loft,Midtown,Manhattan,Private room,30,496.0,111.0,3.4685,365,365,1.0,Strict 30+ night minimum AND price 347% above peer median; 100% vacant.
14,48404504,Lovely Private Room with Office in Heart of Brooke,Bedford-Stuyvesant,Brooklyn,Private room,30,484.0,111.0,3.3604,365,365,1.0,Strict 30+ night minimum AND price 336% above peer median; 100% vacant.
15,1231957944915161552,Private NYC Quarters - Shared Apt,Sunnyside,Queens,Private room,30,456.0,111.0,3.1081,365,365,1.0,Strict 30+ night minimum AND price 311% above peer median; 100% vacant.
16,1542771445085221006,Private Room in Shared apartment,Prospect-Lefferts Gardens,Brooklyn,Private room,30,402.0,111.0,2.6216,365,365,1.0,Strict 30+ night minimum AND price 262% above peer median; 100% vacant.
17,699168737421368390,Your home in Manhattan - Midtown West,Hell's Kitchen,Manhattan,Private room,30,400.0,111.0,2.6036,365,365,1.0,Strict 30+ night minimum AND price 260% above peer median; 100% vacant.
18,1299502297252861385,Room In Brooklyn,Cypress Hills,Brooklyn,Private room,30,400.0,111.0,2.6036,365,365,1.0,Strict 30+ night minimum AND price 260% above peer median; 100% vacant.
19,557912715961485952,Beautiful Shared Space  In Flatbush,East Flatbush,Brooklyn,Private room,30,381.0,111.0,2.4324,365,365,1.0,Strict 30+ night minimum AND price 243% above peer median; 100% vacant.
20,1188405272107891640,Brownstone Brooklyn Suite,Fort Greene,Brooklyn,Private room,32,360.0,111.0,2.2432,365,365,1.0,Strict 32+ night minimum AND price 224% above peer median; 100% vacant.
21,979006571228615807,Luxurious Room With Private Yard,Williamsburg,Brooklyn,Private room,30,360.0,111.0,2.2432,365,365,1.0,Strict 30+ night minimum AND price 224% above peer median; 100% vacant.
22,6520350,Rockaways BEST Summer House,Arverne,Queens,Shared room,30,537.5,167.0,2.2186,365,365,1.0,Strict 30+ night minimum AND price 222% above peer median; 100% vacant.
23,905310919641298879,2 bedroom in NY,Crown Heights,Brooklyn,Private room,30,356.0,111.0,2.2072,365,365,1.0,Strict 30+ night minimum AND price 221% above peer median; 100% vacant.
24,806772034013586078,Flirty & Fun Private Room,Harlem,Manhattan,Private room,30,350.0,111.0,2.1532,365,365,1.0,Strict 30+ night minimum AND price 215% above peer median; 100% vacant.
25,1308780466970105207,A Place To Call Home,Crown Heights,Brooklyn,Shared room,30,499.0,167.0,1.988,365,365,1.0,Strict 30+ night minimum AND price 199% above peer median; 100% vacant.
26,52466688,Farmhouse-chic Oasis in the City,Glendale,Queens,Entire home/apt,30,536.0,180.0,1.9778,365,365,1.0,Strict 30+ night minimum AND price 198% above peer median; 100% vacant.
27,260755,Tribeca Artist Loft 1000 sq/feet,Tribeca,Manhattan,Entire home/apt,30,531.0,180.0,1.95,365,365,1.0,Strict 30+ night minimum AND price 195% above peer median; 100% vacant.
28,932658646851116915,Discover a Hidden Gem,Bergen Beach,Brooklyn,Entire home/apt,30,530.0,180.0,1.9444,365,365,1.0,Strict 30+ night minimum AND price 194% above peer median; 100% vacant.
29,1526278815485673713,Luxury NYC stay,Theater District,Manhattan,Private room,30,323.0,111.0,1.9099,365,365,1.0,Strict 30+ night minimum AND price 191% above peer median; 100% vacant.
30,780897141519639753,The Gem Of Brooklyn,Bushwick,Brooklyn,Entire home/apt,30,520.0,180.0,1.8889,365,365,1.0,Strict 30+ night minimum AND price 189% above peer median; 100% vacant.
31,1270917903320485839,Full Floor SoHo Loft (Spring St),SoHo,Manhattan,Entire home/apt,30,520.0,180.0,1.8889,365,365,1.0,Strict 30+ night minimum AND price 189% above peer median; 100% vacant.
32,817650219257594527,Home away from home space in Brooklyn,Midwood,Brooklyn,Entire home/apt,30,502.0,180.0,1.7889,365,365,1.0,Strict 30+ night minimum AND price 179% above peer median; 100% vacant.
33,39603229,Amazing 2 Bedroom in Midtown East & Close to UN,Midtown,Manhattan,Entire home/apt,30,501.0,180.0,1.7833,365,365,1.0,Strict 30+ night minimum AND price 178% above peer median; 100% vacant.
34,690934,*Available 1 year* 5BR Multi-Terrace Sunny Apt!,Park Slope,Brooklyn,Entire home/apt,365,500.0,180.0,1.7778,365,365,1.0,Strict 365+ night minimum AND price 178% above peer median; 100% vacant.
35,887355,2 bedrooms 5-star building midtown,Murray Hill,Manhattan,Entire home/apt,30,500.0,180.0,1.7778,365,365,1.0,Strict 30+ night minimum AND price 178% above peer median; 100% vacant.
36,572620870722180872,Space,East Flatbush,Brooklyn,Entire home/apt,30,500.0,180.0,1.7778,365,365,1.0,Strict 30+ night minimum AND price 178% above peer median; 100% vacant.
37,627371470100795624,2 BDRM penthouse in the heart of the LES,Lower East Side,Manhattan,Entire home/apt,30,490.0,180.0,1.7222,365,365,1.0,Strict 30+ night minimum AND price 172% above peer median; 100% vacant.
38,47281460,One bedroom suite in Classic NYC Brownstone,East Harlem,Manhattan,Private room,30,302.0,111.0,1.7207,365,365,1.0,Strict 30+ night minimum AND price 172% above peer median; 100% vacant.
