neighbourhood_cleansed,total_listings,top_tier_threshold_ltm,total_top_tier_listings,top_tier_superhost_count,top_tier_regular_count,superhost_share,gap_score,avg_top_tier_reviews_ltm
Midtown,2037,6.0,351,102,249,0.2905982905982906,176.64102564102564,33.56125356125356
Fort Hamilton,108,6.0,61,2,59,0.03278688524590164,57.0655737704918,41.77049180327869
Chelsea,853,6.0,91,21,70,0.23076923076923078,53.84615384615384,66.16483516483517
Lower East Side,633,6.0,89,28,61,0.3146067415730337,41.80898876404495,30.96629213483146
Hell's Kitchen,1525,6.0,142,75,67,0.528169014084507,31.61267605633803,41.929577464788736
Chinatown,272,6.0,57,17,40,0.2982456140350877,28.07017543859649,35.228070175438596
Theater District,321,6.0,55,19,36,0.34545454545454546,23.563636363636363,69.61818181818182
Financial District,657,6.0,106,57,49,0.5377358490566038,22.650943396226417,45.29245283018868
Gramercy,242,6.0,32,6,26,0.1875,21.125,33.09375
Harlem,1695,6.0,197,135,62,0.6852791878172588,19.51269035532995,26.517766497461928
Bedford-Stuyvesant,2580,6.0,294,219,75,0.7448979591836735,19.132653061224485,32.214285714285715
Long Island City,425,6.0,50,21,29,0.42,16.82,42.12
Crown Heights,1122,6.0,140,93,47,0.6642857142857143,15.77857142857143,29.728571428571428
Upper East Side,1424,6.0,55,29,26,0.5272727272727272,12.290909090909093,27.236363636363638
East Harlem,689,6.0,51,26,25,0.5098039215686274,12.254901960784315,28.627450980392158
Flushing,405,6.0,54,29,25,0.5370370370370371,11.574074074074073,36.111111111111114
Astoria,548,6.0,62,37,25,0.5967741935483871,10.080645161290322,32.145161290322584
East Village,971,6.0,58,35,23,0.603448275862069,9.120689655172415,26.0
Flatiron District,76,6.0,11,1,10,0.09090909090909091,9.09090909090909,61.18181818181818
Little Italy,106,6.0,15,4,11,0.26666666666666666,8.066666666666666,21.533333333333335
Bushwick,1457,6.0,115,85,30,0.7391304347826086,7.82608695652174,37.56521739130435
Jamaica,254,6.0,53,33,20,0.6226415094339622,7.547169811320755,37.0
Upper West Side,1483,6.0,54,34,20,0.6296296296296297,7.4074074074074066,37.666666666666664
East Elmhurst,185,6.0,35,19,16,0.5428571428571428,7.314285714285715,39.885714285714286
Fresh Meadows,36,6.0,9,1,8,0.1111111111111111,7.111111111111111,21.22222222222222
Springfield Gardens,124,6.0,38,22,16,0.5789473684210527,6.7368421052631575,37.23684210526316
Tribeca,159,6.0,15,5,10,0.3333333333333333,6.666666666666668,57.4
Kips Bay,387,6.0,26,13,13,0.5,6.5,28.423076923076923
Port Morris,31,6.0,6,0,6,0.0,6.0,24.666666666666668
Prospect-Lefferts Gardens,377,6.0,38,23,15,0.6052631578947368,5.921052631578948,25.526315789473685
Downtown Brooklyn,75,6.0,14,5,9,0.35714285714285715,5.785714285714285,43.57142857142857
Nolita,203,6.0,14,5,9,0.35714285714285715,5.785714285714285,14.214285714285714
South Ozone Park,72,6.0,24,13,11,0.5416666666666666,5.041666666666667,47.541666666666664
Battery Park City,71,6.0,5,0,5,0.0,5.0,92.6
Jackson Heights,200,6.0,18,9,9,0.5,4.5,32.77777777777778
East Flatbush,511,6.0,93,73,20,0.7849462365591398,4.301075268817205,26.118279569892472
St. Albans,132,6.0,25,15,10,0.6,4.0,31.28
Little Neck,4,6.0,4,0,4,0.0,4.0,23.0
Williamsbridge,51,6.0,4,0,4,0.0,4.0,15.5
Flatbush,442,6.0,38,26,12,0.6842105263157895,3.789473684210526,33.31578947368421
SoHo,270,6.0,27,17,10,0.6296296296296297,3.7037037037037033,40.0
East New York,289,6.0,61,46,15,0.7540983606557377,3.688524590163935,31.59016393442623
Murray Hill,469,6.0,33,22,11,0.6666666666666666,3.666666666666667,43.81818181818182
Sunset Park,270,6.0,47,34,13,0.723404255319149,3.5957446808510634,43.40425531914894
Mount Hope,33,6.0,7,2,5,0.2857142857142857,3.5714285714285716,23.714285714285715
West Village,474,6.0,18,10,8,0.5555555555555556,3.5555555555555554,21.333333333333332
Bayside,45,6.0,5,1,4,0.2,3.2,11.4
Van Nest,12,6.0,5,1,4,0.2,3.2,19.4
Greenwich Village,212,6.0,8,3,5,0.375,3.125,18.875
Brownsville,98,6.0,26,17,9,0.6538461538461539,3.1153846153846154,25.653846153846153
Woodside,329,6.0,16,9,7,0.5625,3.0625,37.125
Sunnyside,268,6.0,21,13,8,0.6190476190476191,3.0476190476190474,27.714285714285715
Washington Heights,533,6.0,23,15,8,0.6521739130434783,2.782608695652174,45.52173913043478
Cypress Hills,166,6.0,30,21,9,0.7,2.7,32.43333333333333
Williamsburg,2060,6.0,104,88,16,0.8461538461538461,2.4615384615384617,31.125
Ridgewood,328,6.0,21,14,7,0.6666666666666666,2.3333333333333335,28.666666666666668
Rosedale,95,6.0,21,14,7,0.6666666666666666,2.3333333333333335,29.952380952380953
Hollis,24,6.0,4,1,3,0.25,2.25,26.25
College Point,50,6.0,17,11,6,0.6470588235294118,2.117647058823529,26.11764705882353
Midwood,72,6.0,8,4,4,0.5,2.0,34.375
Bayswater,17,6.0,2,0,2,0.0,2.0,52.0
Civic Center,24,6.0,2,0,2,0.0,2.0,12.0
Mariners Harbor,26,6.0,2,0,2,0.0,2.0,19.0
Rosebank,7,6.0,2,0,2,0.0,2.0,17.5
Canarsie,219,6.0,61,51,10,0.8360655737704918,1.6393442622950816,28.18032786885246
Laurelton,48,6.0,10,6,4,0.6,1.6,26.7
Longwood,50,6.0,6,3,3,0.5,1.5,28.0
South Slope,167,6.0,11,7,4,0.6363636363636364,1.4545454545454546,26.727272727272727
Briarwood,35,6.0,3,1,2,0.3333333333333333,1.3333333333333335,26.666666666666668
Edenwald,35,6.0,3,1,2,0.3333333333333333,1.3333333333333335,47.0
Richmond Hill,95,6.0,19,14,5,0.7368421052631579,1.3157894736842106,45.94736842105263
Greenpoint,595,6.0,30,24,6,0.8,1.1999999999999997,24.433333333333334
Clinton Hill,344,6.0,21,16,5,0.7619047619047619,1.1904761904761907,36.857142857142854
Pelham Gardens,34,6.0,4,2,2,0.5,1.0,24.0
Castleton Corners,6,6.0,1,0,1,0.0,1.0,31.0
Douglaston,3,6.0,1,0,1,0.0,1.0,26.0
Grant City,18,6.0,1,0,1,0.0,1.0,24.0
Hunts Point,29,6.0,1,0,1,0.0,1.0,24.0
Jamaica Estates,23,6.0,1,0,1,0.0,1.0,18.0
Morrisania,12,6.0,1,0,1,0.0,1.0,21.0
NoHo,38,6.0,1,0,1,0.0,1.0,51.0
Soundview,18,6.0,1,0,1,0.0,1.0,10.0
West Brighton,25,6.0,1,0,1,0.0,1.0,6.0
Woodlawn,9,6.0,1,0,1,0.0,1.0,14.0
Arverne,88,6.0,10,7,3,0.7,0.9000000000000001,29.1
Mott Haven,60,6.0,10,7,3,0.7,0.9000000000000001,14.4
Windsor Terrace,85,6.0,10,7,3,0.7,0.9000000000000001,36.8
Gowanus,134,6.0,19,15,4,0.7894736842105263,0.8421052631578947,54.578947368421055
Bergen Beach,20,6.0,5,3,2,0.6,0.8,20.0
Ozone Park,85,6.0,12,9,3,0.75,0.75,26.583333333333332
Maspeth,76,6.0,13,10,3,0.7692307692307693,0.6923076923076922,28.384615384615383
Glendale,67,6.0,6,4,2,0.6666666666666666,0.6666666666666667,27.666666666666668
Woodhaven,83,6.0,14,11,3,0.7857142857142857,0.6428571428571429,32.642857142857146
Ditmars Steinway,193,6.0,26,22,4,0.8461538461538461,0.6153846153846154,27.46153846153846
Roosevelt Island,39,6.0,7,5,2,0.7142857142857143,0.5714285714285714,29.285714285714285
Park Slope,302,6.0,30,26,4,0.8666666666666667,0.5333333333333332,37.7
Flatlands,106,6.0,17,14,3,0.8235294117647058,0.5294117647058825,27.764705882352942
Wakefield,68,6.0,8,6,2,0.75,0.5,29.875
Arrochar,12,6.0,2,1,1,0.5,0.5,18.0
Belle Harbor,7,6.0,2,1,1,0.5,0.5,30.5
Bellerose,17,6.0,2,1,1,0.5,0.5,20.0
City Island,16,6.0,2,1,1,0.5,0.5,28.0
Eastchester,10,6.0,2,1,1,0.5,0.5,13.5
Jamaica Hills,17,6.0,2,1,1,0.5,0.5,21.0
Mill Basin,13,6.0,2,1,1,0.5,0.5,34.0
Morris Heights,20,6.0,2,1,1,0.5,0.5,31.5
Parkchester,24,6.0,2,1,1,0.5,0.5,12.5
Two Bridges,37,6.0,2,1,1,0.5,0.5,11.5
Unionport,13,6.0,2,1,1,0.5,0.5,14.5
Concourse,42,6.0,9,7,2,0.7777777777777778,0.4444444444444444,40.77777777777778
Queens Village,84,6.0,10,8,2,0.8,0.3999999999999999,34.7
Cambria Heights,59,6.0,11,9,2,0.8181818181818182,0.36363636363636354,26.90909090909091
Carroll Gardens,140,6.0,11,9,2,0.8181818181818182,0.36363636363636354,35.90909090909091
Corona,50,6.0,11,9,2,0.8181818181818182,0.36363636363636354,24.454545454545453
Kensington,110,6.0,3,2,1,0.6666666666666666,0.33333333333333337,21.0
Randall Manor,19,6.0,3,2,1,0.6666666666666666,0.33333333333333337,43.333333333333336
Fort Greene,269,6.0,15,13,2,0.8666666666666667,0.2666666666666666,31.466666666666665
Sheepshead Bay,119,6.0,16,14,2,0.875,0.25,33.5625
Borough Park,60,6.0,4,3,1,0.75,0.25,20.0
Castle Hill,9,6.0,4,3,1,0.75,0.25,39.5
Howard Beach,40,6.0,4,3,1,0.75,0.25,36.75
Kew Gardens,34,6.0,4,3,1,0.75,0.25,35.25
Middle Village,19,6.0,4,3,1,0.75,0.25,36.5
Rego Park,69,6.0,4,3,1,0.75,0.25,70.75
St. George,31,6.0,4,3,1,0.75,0.25,19.75
Concourse Village,27,6.0,6,5,1,0.8333333333333334,0.16666666666666663,26.833333333333332
Bath Beach,26,6.0,7,6,1,0.8571428571428571,0.1428571428571429,43.42857142857143
Melrose,20,6.0,7,6,1,0.8571428571428571,0.1428571428571429,21.285714285714285
Forest Hills,95,6.0,8,7,1,0.875,0.125,40.25
Elmhurst,304,6.0,11,10,1,0.9090909090909091,0.09090909090909094,26.727272727272727
Prospect Heights,180,6.0,14,13,1,0.9285714285714286,0.0714285714285714,36.92857142857143
Allerton,44,6.0,2,2,0,1.0,0.0,39.0
Arden Heights,4,6.0,0,0,0,0.0,0.0,0.0
Bay Ridge,112,6.0,9,9,0,1.0,0.0,20.333333333333332
Bay Terrace,4,6.0,1,1,0,1.0,0.0,20.0
