neighbourhood_cleansed,borough,listing_count,avg_price,avg_reviews_ltm,total_reviews,avg_availability_pct,dominant_room_type,opportunity_score
Fort Hamilton,Brooklyn,108,186.66,23.93,2584,63.08,Entire home/apt,1.6469
Tottenville,Staten Island,4,131.25,18.0,72,78.56,Entire home/apt,1.5773
Castle Hill,Bronx,9,136.5,17.56,158,78.14,Private room,1.5542
Long Island City,Queens,425,3241.35,5.44,2312,46.22,Private room,1.5252
South Ozone Park,Queens,72,172.48,16.32,1175,68.77,Private room,1.3954
Van Nest,Bronx,12,172.8,8.58,103,86.05,Entire home/apt,1.2683
Eltingville,Staten Island,3,136.0,15.0,45,59.18,Private room,1.2599
Mill Basin,Brooklyn,13,211.92,5.54,72,94.1,Entire home/apt,1.2332
Fort Wadsworth,Staten Island,1,750.0,0.0,0,100.0,Entire home/apt,1.2314
Springfield Gardens,Queens,124,160.36,11.68,1448,73.53,Entire home/apt,1.2251
New Dorp Beach,Staten Island,4,82.67,10.75,43,73.15,Private room,1.2052
Bath Beach,Brooklyn,26,159.64,11.85,308,66.93,Entire home/apt,1.204
Huguenot,Staten Island,3,112.33,9.0,27,79.18,Entire home/apt,1.2018
Little Neck,Queens,4,84.75,23.0,92,19.93,Private room,1.1856
Belle Harbor,Queens,7,226.14,8.86,62,72.09,Entire home/apt,1.1586
Bull's Head,Staten Island,8,158.14,9.88,79,69.01,Private room,1.1489
Whitestone,Queens,17,124.08,13.29,226,55.47,Entire home/apt,1.1424
Middle Village,Queens,19,158.59,8.16,155,74.28,Entire home/apt,1.1257
Theater District,Manhattan,321,406.94,12.29,3946,60.78,Entire home/apt,1.1231
Eastchester,Bronx,10,176.67,2.7,27,95.1,Private room,1.1148
Westerleigh,Staten Island,5,136.0,3.4,17,92.33,Private room,1.1058
Port Morris,Bronx,31,251.35,5.77,179,78.78,Entire home/apt,1.0951
Graniteville,Staten Island,4,96.5,3.25,13,92.95,Private room,1.0939
Unionport,Bronx,13,155.54,2.54,33,93.66,Entire home/apt,1.086
Edgemere,Queens,12,156.75,5.25,63,80.43,Entire home/apt,1.0679
Claremont Village,Bronx,26,123.71,11.31,294,56.51,Private room,1.0662
Clason Point,Bronx,28,102.27,6.32,177,77.62,Private room,1.0615
Todt Hill,Staten Island,3,607.0,3.0,9,74.16,Private room,1.0534
Clifton,Staten Island,12,99.44,12.58,151,48.72,Private room,1.0396
College Point,Queens,50,144.07,9.2,460,61.39,Private room,1.0239
Willowbrook,Staten Island,2,165.0,0.5,1,94.93,Entire home/apt,1.0207
Randall Manor,Staten Island,19,166.28,7.26,138,66.79,Private room,1.0158
Midland Beach,Staten Island,8,135.25,4.38,35,79.38,Entire home/apt,1.0157
Woodrow,Staten Island,2,58.5,0.0,0,99.73,Private room,1.0149
Bergen Beach,Brooklyn,20,193.37,5.35,107,73.58,Entire home/apt,1.0116
Stapleton,Staten Island,18,120.47,4.67,84,77.76,Private room,1.0032
Hollis Hills,Queens,1,255.0,0.0,0,92.33,Entire home/apt,1.002
